comment,inherent_polarization
" Teacher shows a video of some Black ""speaker"" who basically says ""Yea 1/3 of black males are in some form of the prison system",0.0
"""...Only Russian people...\""",0.0
"""HOLY SHIT THESE GUYS ARE HEROES LONG LIVE FREEDOM\""",0.49999999999999944
"""He had cleared up the etymological problem and shown why the Templars should have given the name Baphomet to their so-called idol. Baphomet was Father Mithras",0.0
"""Teach me to try to be a good guy"" The CB knows hes being a dick, sad thing is is that it must work sometimes:/",0.0
"""They could. "" Quit with your fear porn tactics, you do nothing POS",0.0
"""This magazine is sexist towards women! It shows a women on the front cover who has cleavage.\""",0.0
"""Very tactical. Just that it shows your sweet ass and is distracting on enemies tactically is all I'm saying.""",0.0
"""You get half of your allosomes from your mother and half from your father. Since females are XX",0.49999999999999944
"""[twitter trolls] goes to show violence against black bodies is so normalized",0.0
#ArmyMeansFamily #BTS Did you know BTS BTS is my light BTS is my love BTS is my world And BTS is my everything in this universe Ilove you bangtan,0.0
#DistractionBecky has to be the best burn ever inflicted! LOL ❤️👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻💪🏻,0.0
#JeremyVine what has this would come to - vegan fish and chips is not Fish and chips - why not call it something strange and chips !! 🐟🐟🐟🐟🐟🐟🍟🍟🍟🍟,0.0
#NGARSA and they delivered 🇳🇬🇳🇬🇳🇬🇳🇬,0.0
#NowPlaying Love Gun (FRA-2017) Tess,0.0
"#Privilege narrative is a false narrative that only succeeds in dividing people in a democracy, and undermining/distracting from the ongoing struggle for #civilrights to be applied universally for all. At this point the use of the term ""privilege"" is becoming an idiot test.",0.0
"#STND Grim story of marriage strife, an affair and rape unfolds",0.0
#Trump's crying. Boo-Hoo! The UK Ambassador Said something not nice about him. Boo-Hoo! Trump like flatters &amp; people who lie to him about how great he is. Yuks! I wonder if he complained the Queen &amp; if she laughed. Trump's crying: Boo-Hoo!,0.0
#UNDERWOOD 21 (#Olivetti Studio) #Typewriter. Blue Metal Body #Manual Typewriter. QWERTY Keyboard. #Working #Portable Typewriter. #Vintage #Machine #Stylish #officedesign #Rare #Collectible,0.0
"#bettorrundown Tim cashes futures Donkey show ⚽️ More free-play=More bettor. Slot Promo⚽️ Shut-up &amp; Bet. @netimegambling Great conversation, got lost in it. hookers 2:1 comps. 7 royals. 400,000 &amp; 3 Unknown. Longer=More Bettor. Thank God the World Cup is over. Early=Do Bettor",0.0
#tuesdayselfie @EthanDolan @GraysonDolan kinda wanna delete these,0.0
"(I'm not even sure that this is a left-made effigy, but still using it as a talking point). That's the thing I hate the most about the left, communists, or whatever the correct term is for their kind/party/inclination. In the past, they could have always argued that they had a legit gripe with their age-old admin/USA Puppet perspective. We legitimately had close ties with the USA in the past anyway. No arguing there, even if the value of the relationship itself could have been debatable. With everything that's been going on now, the left has shown that they're at least as willfully BLIND as their opponents when they continue to spout the admin+US bullshit. On a brighter note: one good thing is that China is finally included in this effigy. That was the second thing that these groups have been traditionally blind to (China = commies, we're commies, china == friends). If leftist groups did this, then hopefully it's a good start.",0.0
"(Perhaps) Stan wouldn't punch him, The Jewish boy love him too (much).",0.0
"(for sure NSFW) *Friends sisters little virgin ass filled with my cum on snap* ^40,816,881 ^Views ^76% ^Rating &amp;nbsp; ^| ^| ^I'm ^a ^bot ^| ^-1 ^voting ^for ^removal ^| ^last ^update ^2019-03-15",0.0
(keep your nose clean and STFU) nah,0.0
"**at restaurant** Me : [ ah yes, can i get table for one? ] Waiter : [ just for one? ] Me : [ yes just me ] Waiter : [ okay sir, your table will be at the ba k of our store ] Me : [ but..thats a parking lot ] Waiter : [ exactly...suck it up ]",0.0
