sample_size,standard_error
3,0.022191474463617338
4,0.02127884882072091
5,0.02001787473497829
6,0.01883121035961888
7,0.017831174243932095
8,0.01706408181769754
9,0.016500371615971454
10,0.016081689473327866
11,0.01577275483293698
12,0.015518867106620725
13,0.01534434236538231
14,0.015210171568067246
15,0.015123682861278862
16,0.015030567502032247
17,0.01497355695504978
18,0.01489838691023784
19,0.014872220995783931
20,0.014839384723722683
21,0.014802959013966976
22,0.014790808374758584                                                                         
23,0.014757390070892997
24,0.014737948153976922
25,0.014727806147117531
26,0.014713474796966518
27,0.014687118478854929
28,0.014691286420365735
29,0.01469092105739756
30,0.014676521478776003
31,0.014659707447255442
32,0.014675600102039372
33,0.014651965922833356
34,0.01464826862146441
35,0.014636058519764617
36,0.014637916152240632
37,0.014622815778967027
38,0.014614760488266607
39,0.01460763297453503
40,0.014603472828763358
41,0.01458885818937518
42,0.01459002378133501
43,0.014567453773024623
44,0.014568292036268285
45,0.014548715330601937
46,0.014540963551677876
47,0.014528266392862265
48,0.014524264821716948
49,0.014503815096237532
50,0.014492566638760657
51,0.014465270748047649
52,0.014465111872865852
53,0.01443226508577655
54,0.014410545781826368
55,0.014411588903647505
56,0.014382788318783991
57,0.014356343381674531
58,0.0143324588959302
59,0.014307241352590054
60,0.014279634706184936
61,0.014242492802511629
62,0.014218661974355382
63,0.014196480326995995
64,0.014164222216504764
65,0.014127924931727258
66,0.01409552914356728
67,0.014049881134881766
68,0.014021387968037025
69,0.013980774016515833
70,0.013932453958995075
71,0.013894664219963476
72,0.013858718578667256
73,0.013794255646842384
74,0.013761353441782169
75,0.013712190901602537
76,0.013653922632918055
77,0.01361018733745291
78,0.013549446959808982
79,0.013495917268553028
80,0.013437333876784084
81,0.013375508349775038
82,0.013303634426869231
83,0.013242837363814016
84,0.013185917734131325
85,0.013120574268527488
86,0.0130394092475084
87,0.012974795178365209
88,0.012900037385929538
89,0.01282474097105371
90,0.012745435538283664
91,0.01266341356640901
92,0.012592360327012848
93,0.012501919735868026
94,0.012417895582146557
95,0.012323646132253825
96,0.012233945368232566
97,0.012147695895730963
98,0.012049838633502874
99,0.011946179274950657
